Wall time,Step,Value
1589163052.1824262,5568000,-774.9842529296875
1589163079.39191,5580000,-783.0634155273438
1589163103.9732168,5592000,-774.22314453125
1589163156.3752155,5616000,-780.0300903320312
1589163180.3082232,5628000,-789.1842651367188
1589163204.2076375,5640000,-785.0286865234375
1589163255.6038754,5664000,-792.8508911132812
1589163306.2019362,5688000,-790.2550659179688
1589163329.9168742,5700000,-790.612060546875
1589163429.5316293,5748000,-831.8175659179688
1589163605.834166,5832000,-791.8842163085938
1589163681.547155,5868000,-800.6717529296875
1589163705.8948095,5880000,-806.0731201171875
1589163757.8073478,5904000,-809.4259033203125
1589163806.0334325,5928000,-814.4842529296875
1589163881.3812246,5964000,-834.9453735351562
1589164161.5025306,6096000,-880.4898071289062
1589164238.3103423,6132000,-895.4231567382812
1589164262.091268,6144000,-897.2175903320312
1589164288.8911655,6156000,-889.1051025390625
1589164337.954661,6180000,-933.3397827148438
1589164389.4236467,6204000,-882.72314453125
1589164413.4457247,6216000,-854.789794921875
1589164464.3690786,6240000,-849.1842651367188
1589164591.5607202,6300000,-825.834228515625
1589164616.539786,6312000,-801.0342407226562
1589164772.0885208,6384000,-828.6619873046875
1589164823.978488,6408000,-849.7509155273438
1589164848.819277,6420000,-867.1342163085938
1589164873.0133286,6432000,-860.4675903320312
1589164899.7290704,6444000,-837.2217407226562
1589164924.0748749,6456000,-822.3231201171875
1589164948.287325,6468000,-835.6342163085938
1589164975.4700396,6480000,-822.1008911132812
1589164999.9295633,6492000,-827.8619995117188
1589165023.6852527,6504000,-832.1397705078125
1589165050.2433584,6516000,-834.5509033203125
1589165098.0379028,6540000,-824.7286987304688
1589165174.233519,6576000,-844.1397705078125
1589165200.870389,6588000,-834.3217163085938
1589165224.7988954,6600000,-831.1953735351562
1589165276.3388608,6624000,-842.0467529296875
1589165375.7584505,6672000,-778.1898193359375
1589165426.5796063,6696000,-791.7300415039062
1589165474.654292,6720000,-772.7120361328125
1589165577.0045302,6768000,-780.0967407226562
1589165601.2850235,6780000,-777.0675659179688
1589165625.289508,6792000,-803.8731079101562
1589165677.1738167,6816000,-794.4898071289062
1589165728.8879182,6840000,-824.2258911132812
1589165777.0155768,6864000,-801.7175903320312
1589165828.196849,6888000,-824.7786865234375
1589165852.0269926,6900000,-782.7731323242188
1589165925.9057333,6936000,-814.6842041015625
1589165976.3185465,6960000,-799.1897583007812
1589165999.8323796,6972000,-789.5342407226562
1589166026.9536555,6984000,-786.6675415039062
1589166050.9815564,6996000,-767.9842529296875
1589166074.6210604,7008000,-743.2564697265625
1589166101.1200058,7020000,-741.642578125
1589166148.784649,7044000,-726.72314453125
1589166176.434502,7056000,-736.40087890625
1589166299.5839853,7116000,-711.90087890625
1589166326.3605568,7128000,-704.7592163085938
1589166374.4405127,7152000,-712.4175415039062
1589166401.6575005,7164000,-716.0758666992188
1589166425.9435222,7176000,-720.539794921875
1589166502.5153215,7212000,-717.1564331054688
1589166552.7899811,7236000,-718.013427734375
1589166601.4021914,7260000,-720.9119873046875
